system:index,date,ice,ship,unknown,water,.geo
0,1467331200000,6600285.917647053,136.0,2.639155405490195E7,9190.149019607845,
1,0,0,0,0,0,
2,0,0,0,0,0,
3,0,0,0,0,0,
4,1467676800000,5462014.498039214,0.0,1.9747031592156854E7,8770999.647058818,
5,0,0,0,0,0,
6,1467849600000,408704.94901960786,0.0,5561443.83137255,1.3289283843137255E7,
7,0,0,0,0,0,
8,1468022400000,8244.898039215686,0.0,785993.8509803922,2018181.2941176468,
9,0,0,0,0,0,
10,0,0,0,0,0,
11,1468281600000,2106390.7843137253,0.0,1.5567557427450975E7,9824261.69803921,
12,1468368000000,5309211.227450978,0.0,1.537627052941175E7,1.2372477909803906E7,
13,1468454400000,77074.65882352942,0.0,2756642.219607844,8457541.65490196,
14,0,0,0,0,0,
15,0,0,0,0,0,
16,1468713600000,1893327.6627450981,4.0,1.0915578984313725E7,2.1164618894117646E7,
17,0,0,0,0,0,
18,1468886400000,1815146.274509804,0.0,1.3605778552941173E7,3867070.7019607853,
19,0,0,0,0,0,
20,1469059200000,3225.9294117647055,0.0,590883.7529411763,2233543.25882353,
21,1469145600000,1.000885971764705E7,197.6235294117647,3.0549866964705866E7,648791.0078431371,
22,0,0,0,0,0,
23,1469318400000,6105635.686274508,4.0,1.4617344909803914E7,6780809.262745099,
24,1469404800000,5960942.850980372,16.0,2.6187549725490175E7,911275.6627450981,
25,1469491200000,374155.50196078443,11.0,4512830.917647058,6401616.643137255,
26,0,0,0,0,0,
27,0,0,0,0,0,
28,1469750400000,1.3474437121568616E7,6.0,1.8839452780392144E7,1652006.1411764715,
29,0,0,0,0,0,
30,1469923200000,1430525.1843137252,14.0,1.1262619235294117E7,6564308.749019606,
31,0,0,0,0,0,
32,1470096000000,189.24313725490197,0.0,47913.93725490195,2721795.552941176,
33,1470182400000,2273639.8078431375,5.0,1.3086048764705868E7,2.5850602976470575E7,
34,0,0,0,0,0,
35,1470355200000,1.1782021294117644E7,14.0,1.436995540784312E7,1363743.0549019612,
36,1470441600000,2073157.1843137252,7.0,1.2918678286274508E7,1.804791785490196E7,
37,1470528000000,38360.85490196078,0.0,4101547.0666666664,7162094.180392157,
38,0,0,0,0,0,
39,0,0,0,0,0,
40,1470787200000,2306048.054901961,6.0,1.8581662513725482E7,1.3076495474509774E7,
41,0,0,0,0,0,
42,1470960000000,7532375.050980392,16.0,1.0498762196078427E7,1156166.7686274513,
43,0,0,0,0,0,
44,1471132800000,251827.5490196079,0.0,1994486.1529411762,600223.874509804,
45,1471219200000,4204216.643137255,4.0,3.013104102745097E7,6867750.349019595,
46,0,0,0,0,0,
47,1471392000000,899246.9607843137,0.0,1.279040054117647E7,1.3822957560784291E7,
48,1471478400000,6340382.788235285,18.0,2.6609686847058803E7,41330.08627450982,
49,1471564800000,5107825.823529412,0.0,4619346.219607844,1583852.737254902,
50,0,0,0,0,0,
51,0,0,0,0,0,
52,0,0,0,0,0,
53,0,0,0,0,0,
54,1471996800000,768579.4901960784,2.0,8803171.298039217,9579531.992156854,
55,0,0,0,0,0,
56,0,0,0,0,0,
57,1472256000000,3208340.964705882,0.0,1.7760201592156854E7,6093123.34509804,
58,0,0,0,0,0,
59,0,0,0,0,0,
60,1472515200000,5684841.576470582,170.12549019607843,2.728273860392156E7,44075.33725490197,
61,1472601600000,5092650.937254902,0.0,4684138.423529412,1520564.3333333335,
62,0,0,0,0,0,
63,0,0,0,0,0,
64,1472860800000,4316000.839215685,6.0,2.8141043521568622E7,1517061.741176471,
65,0,0,0,0,0,
66,1473033600000,71982.51764705882,55.0,2006517.6117647062,2339.572549019608,
67,0,0,0,0,0,
68,1473206400000,2051557.043137255,0.0,779993.2196078429,14382.956862745097,
69,1473292800000,7672067.047058818,0.0,3.195850092549018E7,1525042.7450980393,
70,0,0,0,0,0,
71,0,0,0,0,0,
72,1473552000000,4246463.690196079,0.0,2.211035575294116E7,6666247.419607832,
73,1473638400000,215900.15686274512,0.0,6913445.650980393,4099000.4156862744,
74,0,0,0,0,0,
75,0,0,0,0,0,
76,1473897600000,1.0463266349019602E7,0.0,2.008958719215685E7,3420160.501960784,
77,0,0,0,0,0,
78,1474070400000,1.23590464627451E7,0.0,6768844.741176468,73867.16862745101,
79,0,0,0,0,0,
80,0,0,0,0,0,
81,1474329600000,2796449.7999999993,0.0,1.1579788278431363E7,2.67807905490196E7,
82,0,0,0,0,0,
83,0,0,0,0,0,
84,1474588800000,7423378.972549007,0.0,1.6270473458823498E7,9374676.549019609,
85,0,0,0,0,0,
86,0,0,0,0,0,
87,1474848000000,5029711.070588236,0.0,1.976279187843135E7,1.6405945372549003E7,
88,1474934400000,4605874.109803923,0.0,1.687026302745098E7,1.2495696345098035E7,
89,1475020800000,4858121.160784314,0.0,1.58152008745098E7,6758937.443137242,
90,1475107200000,9896315.043137237,0.0,3.0315736396078404E7,4409917.337254901,
91,1475193600000,170896.87450980395,0.0,3423838.0823529405,7712892.121568628,
92,0,0,0,0,0,
93,1475366400000,1.2278675999999994E7,55.0,2.864151250196075E7,289075.811764706,
94,0,0,0,0,0,
95,1475539200000,2663669.564705882,7.0,1.1020954741176467E7,1.3740097733333327E7,
96,0,0,0,0,0,
97,1475712000000,6593798.976470588,0.0,3948969.1019607848,749064.8470588237,
98,0,0,0,0,0,
99,0,0,0,0,0,
100,0,0,0,0,0,
101,0,0,0,0,0,
102,1476144000000,3992307.3843137254,2.0,1.1162357341176473E7,4026555.105882344,
103,0,0,0,0,0,
104,1476316800000,473564.52156862745,0.0,1588463.6705882358,775600.0274509804,
105,1476403200000,1.691515943137253E7,33.0,2.1303316760784287E7,2991120.1058823536,
106,0,0,0,0,0,
107,1476576000000,1.7701241003921546E7,29.0,1.790302607058823E7,405740.54117647064,
108,1476662400000,2.4059773929411735E7,4.0,1.6546869854901953E7,4015320.992156863,
109,0,0,0,0,0,
110,0,0,0,0,0,
111,1476921600000,2.3146952984313708E7,13.0,1.4637118490196062E7,3420648.796078432,
112,1477008000000,1.6520176192156851E7,6.0,1.3319644788235268E7,4114906.7176470584,
113,0,0,0,0,0,
114,1477180800000,5815375.376470567,132.0,8275336.4196078265,370810.1490196079,
115,1477267200000,8026775.43137255,4.0,2990796.121568627,275635.2862745098,
116,1477353600000,2262215.2235294124,4.0,559081.7450980393,19262.24705882353,
117,1477440000000,1.4794040196078427E7,83.0,1.1629242792156843E7,666979.3764705884,
118,0,0,0,0,0,
119,1477612800000,2.2239044376470584E7,68.0,4905794.231372546,305883.1529411765,
120,1477699200000,1.9937909960784283E7,269.0,1.2875029450980369E7,255868.54509803926,
121,1477785600000,7094534.282352941,11.0,3341209.925490196,865799.2705882351,
122,0,0,0,0,0,
123,0,0,0,0,0,
124,1478044800000,2.3789072364705883E7,123.0,8614597.247058822,1566011.7529411763,
125,0,0,0,0,0,
126,1478217600000,1.4731227290196072E7,59.0,3862412.807843137,595444.1490196078,
127,0,0,0,0,0,
128,1478390400000,2276443.9803921566,0.0,537770.1215686274,26317.85490196078,
129,1478476800000,2.3289780772549007E7,103.0,1.5744753925490184E7,2162861.2352941185,
130,0,0,0,0,0,
131,1478649600000,1.7984805733333297E7,239.0,1.692778110980388E7,1150648.3529411764,
132,1478736000000,2.7842215450980373E7,136.0,1.3978881274509767E7,2800736.0509803924,
133,1478822400000,8627965.447058825,21.0,2125036.2,531377.1176470588,
134,1478908800000,2091329.831372549,14.0,629717.6588235295,125190.63137254905,
135,1478995200000,2.5802936003921557E7,367.0235294117647,1.3891884243137224E7,1522139.8392156865,
136,1479081600000,2.1099494058823515E7,179.0,1.0083727290196063E7,2785964.0156862685,
137,1479168000000,1.8905455858823515E7,187.0,6989071.611764699,1556279.8156862746,
138,1479254400000,7185059.674509788,250.0,6860794.129411745,398234.0,
139,1479340800000,9397023.992156865,77.0,1616244.8784313728,289036.105882353,
140,1479427200000,2341552.6901960783,3.0,467267.4235294117,86724.23921568628,
141,1479513600000,0.07450980392156863,0.0,0.0,0.0,
142,0,0,0,0,0,
143,1479686400000,2.0670890894117646E7,794.2509803921569,5837341.7019607825,978315.3411764709,
144,0,0,0,0,0,
145,0,0,0,0,0,
146,0,0,0,0,0,
147,0,0,0,0,0,
148,1480118400000,2.3556929231372535E7,1182.0,8959265.160784304,1447735.815686275,
149,0,0,0,0,0,
150,1480291200000,1.3679315321568627E7,783.0,4728961.776470585,784983.0745098038,
151,0,0,0,0,0,
152,1480464000000,2184663.4235294103,65.0,605516.7176470585,119004.48627450982,
153,1480550400000,2.719509519215686E7,1816.6196078431371,1.2476251799999993E7,1537481.8117647064,
154,0,0,0,0,0,
155,1480723200000,2.1566651913725466E7,1828.8862745098038,1.3897061976470565E7,593561.5176470587,
156,1480809600000,3.132631510196077E7,833.0,1.227104645098038E7,1023774.223529412,
157,1480896000000,8428992.592156863,287.0,2411756.6549019604,444013.7647058824,
158,1480982400000,2128100.57254902,78.0,643121.4470588234,120616.80392156861,
159,1481068800000,2.985487784705881E7,3225.2313725490194,1.0762471639215678E7,582276.8823529416,
160,1481155200000,2.4525678552941162E7,3848.0,8713851.003921548,711151.0705882355,
161,1481241600000,2.063405503921568E7,2854.0470588235294,6299417.0549019575,501080.8078431373,
162,1481328000000,9668977.262745077,3686.7568627450983,6860784.725490183,118411.42352941175,
163,1481414400000,8712857.282352943,741.0,2221942.2313725497,369999.0862745098,
164,1481500800000,2329401.3333333335,178.0,489952.27450980386,89083.43529411763,
165,1481587200000,2.7869027905882325E7,3190.5333333333333,1.2833278984313712E7,498385.7647058826,
166,0,0,0,0,0,
167,1481760000000,2.122410816862745E7,1537.8588235294117,5727123.7333333315,500977.03529411764,
168,1481846400000,2.146256660392154E7,1517.9529411764706,1.1262233250980373E7,351574.6196078433,
169,1481932800000,8953936.560784314,391.0,2160969.349019608,176229.3725490196,
170,0,0,0,0,0,
171,0,0,0,0,0,
172,1482192000000,2.526344038431372E7,1337.9686274509804,8167283.239215676,524123.27058823564,
173,0,0,0,0,0,
174,1482364800000,1.4776814576470586E7,602.0,4149416.3058823533,254053.76862745098,
175,0,0,0,0,0,
176,1482537600000,2148639.3490196085,5.0,677617.4862745098,17290.77254901961,
177,1482624000000,2.8910423529411763E7,1119.0,1.160801939999999E7,686325.0705882357,
178,0,0,0,0,0,
179,1482796800000,2.1572489823529363E7,2028.0,1.4281871858823499E7,221092.99215686275,
180,1482883200000,1.4856771439215686E7,319.45490196078435,4232033.9215686275,111145.64705882354,
181,1482969600000,9039210.188235294,185.0,2133689.792156863,130904.34509803921,
182,1483056000000,2432457.180392157,8.0,405613.5176470588,18631.839215686276,
183,1483142400000,2.9843680643137246E7,1257.0,1.1255466023529405E7,119336.61568627453,
